,SSBS,SSB,MaxAbundance,TotalAbundance,RescaledAbundance,Sample_midpoint,Latitude,Longitude,Study_common_taxon,Predominant_land_use,Max_linear_extent_metres,geometry
15329,SC1_2002__Summerville 1 3 45,SC1_2002__Summerville 1 3,1082.0,415.0,0.3835489833641405,2000-06-07,38.6714,-83.23560833333333,Lepidoptera,Mature secondary vegetation,0.3,POINT (-83.23560833333333 38.6714)
15330,SC1_2002__Summerville 1 3 46,SC1_2002__Summerville 1 3,1082.0,497.0,0.45933456561922364,2000-06-19,38.6714,-83.23560833333333,Lepidoptera,Mature secondary vegetation,0.3,POINT (-83.23560833333333 38.6714)
15331,SC1_2002__Summerville 1 3 47,SC1_2002__Summerville 1 3,1082.0,264.0,0.24399260628465805,2000-08-13,38.6714,-83.23560833333333,Lepidoptera,Mature secondary vegetation,0.3,POINT (-83.23560833333333 38.6714)
15332,SC1_2002__Summerville 1 3 48,SC1_2002__Summerville 1 3,1082.0,180.0,0.16635859519408502,2000-08-23,38.6714,-83.23560833333333,Lepidoptera,Mature secondary vegetation,0.3,POINT (-83.23560833333333 38.6714)
15287,SC1_2002__Summerville 1 1 3,SC1_2002__Summerville 1 1,1082.0,102.0,0.09426987060998152,2000-08-14,38.679047222222216,-83.23657222222222,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.23657222222222 38.679047222222216)
15288,SC1_2002__Summerville 1 1 4,SC1_2002__Summerville 1 1,1082.0,119.0,0.1099815157116451,2000-08-24,38.679047222222216,-83.23657222222222,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.23657222222222 38.679047222222216)
15285,SC1_2002__Summerville 1 1 1,SC1_2002__Summerville 1 1,1082.0,642.0,0.5933456561922366,2000-06-08,38.679047222222216,-83.23657222222222,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.23657222222222 38.679047222222216)
15286,SC1_2002__Summerville 1 1 2,SC1_2002__Summerville 1 1,1082.0,299.0,0.27634011090573013,2000-06-28,38.679047222222216,-83.23657222222222,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.23657222222222 38.679047222222216)
15292,SC1_2002__Summerville 1 1 8,SC1_2002__Summerville 1 1,1082.0,189.0,0.17467652495378927,2000-08-24,38.67907777777778,-83.23862777777778,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.23862777777778 38.67907777777778)
15289,SC1_2002__Summerville 1 1 5,SC1_2002__Summerville 1 1,1082.0,450.0,0.41589648798521256,2000-06-08,38.67907777777778,-83.23862777777778,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.23862777777778 38.67907777777778)
15291,SC1_2002__Summerville 1 1 7,SC1_2002__Summerville 1 1,1082.0,123.0,0.11367837338262476,2000-08-14,38.67907777777778,-83.23862777777778,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.23862777777778 38.67907777777778)
15290,SC1_2002__Summerville 1 1 6,SC1_2002__Summerville 1 1,1082.0,527.0,0.48706099815157117,2000-06-28,38.67907777777778,-83.23862777777778,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.23862777777778 38.67907777777778)
15308,SC1_2002__Summerville 1 2 24,SC1_2002__Summerville 1 2,1082.0,252.0,0.23290203327171904,2000-08-23,38.67963888888889,-83.24145555555556,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.24145555555556 38.67963888888889)
15307,SC1_2002__Summerville 1 2 23,SC1_2002__Summerville 1 2,1082.0,265.0,0.24491682070240295,2000-08-13,38.67963888888889,-83.24145555555556,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.24145555555556 38.67963888888889)
15306,SC1_2002__Summerville 1 2 22,SC1_2002__Summerville 1 2,1082.0,521.0,0.48151571164510165,2000-06-19,38.67963888888889,-83.24145555555556,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.24145555555556 38.67963888888889)
15305,SC1_2002__Summerville 1 2 21,SC1_2002__Summerville 1 2,1082.0,1082.0,1.0,2000-06-08,38.67963888888889,-83.24145555555556,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.24145555555556 38.67963888888889)
15301,SC1_2002__Summerville 1 2 17,SC1_2002__Summerville 1 2,1082.0,551.0,0.5092421441774492,2000-06-07,38.68031944444444,-83.23953333333334,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.23953333333334 38.68031944444444)
15303,SC1_2002__Summerville 1 2 19,SC1_2002__Summerville 1 2,1082.0,232.0,0.2144177449168207,2000-08-13,38.68031944444444,-83.23953333333334,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.23953333333334 38.68031944444444)
15304,SC1_2002__Summerville 1 2 20,SC1_2002__Summerville 1 2,1082.0,363.0,0.33548983364140483,2000-08-23,38.68031944444444,-83.23953333333334,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.23953333333334 38.68031944444444)
15302,SC1_2002__Summerville 1 2 18,SC1_2002__Summerville 1 2,1082.0,535.0,0.4944547134935305,2000-06-19,38.68031944444444,-83.23953333333334,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.23953333333334 38.68031944444444)
15300,SC1_2002__Summerville 1 1 16,SC1_2002__Summerville 1 1,1082.0,111.0,0.10258780036968576,2000-08-23,38.68208611111111,-83.24174444444445,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.24174444444445 38.68208611111111)
15298,SC1_2002__Summerville 1 1 14,SC1_2002__Summerville 1 1,1082.0,572.0,0.5286506469500925,2000-06-19,38.68208611111111,-83.24174444444445,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.24174444444445 38.68208611111111)
15297,SC1_2002__Summerville 1 1 13,SC1_2002__Summerville 1 1,1082.0,516.0,0.47689463955637706,2000-06-08,38.68208611111111,-83.24174444444445,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.24174444444445 38.68208611111111)
15299,SC1_2002__Summerville 1 1 15,SC1_2002__Summerville 1 1,1082.0,50.0,0.04621072088724584,2000-08-13,38.68208611111111,-83.24174444444445,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.24174444444445 38.68208611111111)
15295,SC1_2002__Summerville 1 1 11,SC1_2002__Summerville 1 1,1082.0,86.0,0.07948243992606285,2000-08-13,38.68228611111111,-83.23995555555555,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.23995555555555 38.68228611111111)
15293,SC1_2002__Summerville 1 1 9,SC1_2002__Summerville 1 1,1082.0,585.0,0.5406654343807763,2000-06-07,38.68228611111111,-83.23995555555555,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.23995555555555 38.68228611111111)
15296,SC1_2002__Summerville 1 1 12,SC1_2002__Summerville 1 1,1082.0,164.0,0.15157116451016636,2000-08-23,38.68228611111111,-83.23995555555555,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.23995555555555 38.68228611111111)
15294,SC1_2002__Summerville 1 1 10,SC1_2002__Summerville 1 1,1082.0,366.0,0.33826247689463956,2000-06-19,38.68228611111111,-83.23995555555555,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.23995555555555 38.68228611111111)
15318,SC1_2002__Summerville 1 3 34,SC1_2002__Summerville 1 3,1082.0,410.0,0.3789279112754159,2000-06-28,38.68346944444444,-83.24399722222222,Lepidoptera,Mature secondary vegetation,0.3,POINT (-83.24399722222222 38.68346944444444)
15320,SC1_2002__Summerville 1 3 36,SC1_2002__Summerville 1 3,1082.0,298.0,0.2754158964879852,2000-08-24,38.68346944444444,-83.24399722222222,Lepidoptera,Mature secondary vegetation,0.3,POINT (-83.24399722222222 38.68346944444444)
15317,SC1_2002__Summerville 1 3 33,SC1_2002__Summerville 1 3,1082.0,658.0,0.6081330868761553,2000-06-07,38.68346944444444,-83.24399722222222,Lepidoptera,Mature secondary vegetation,0.3,POINT (-83.24399722222222 38.68346944444444)
15319,SC1_2002__Summerville 1 3 35,SC1_2002__Summerville 1 3,1082.0,82.0,0.07578558225508318,2000-08-14,38.68346944444444,-83.24399722222222,Lepidoptera,Mature secondary vegetation,0.3,POINT (-83.24399722222222 38.68346944444444)
15323,SC1_2002__Summerville 1 3 39,SC1_2002__Summerville 1 3,1082.0,153.0,0.1414048059149723,2000-08-14,38.683811111111105,-83.24146944444445,Lepidoptera,Mature secondary vegetation,0.3,POINT (-83.24146944444445 38.683811111111105)
15321,SC1_2002__Summerville 1 3 37,SC1_2002__Summerville 1 3,1082.0,1001.0,0.9251386321626618,2000-06-08,38.683811111111105,-83.24146944444445,Lepidoptera,Mature secondary vegetation,0.3,POINT (-83.24146944444445 38.683811111111105)
15322,SC1_2002__Summerville 1 3 38,SC1_2002__Summerville 1 3,1082.0,524.0,0.48428835489833644,2000-06-28,38.683811111111105,-83.24146944444445,Lepidoptera,Mature secondary vegetation,0.3,POINT (-83.24146944444445 38.683811111111105)
15324,SC1_2002__Summerville 1 3 40,SC1_2002__Summerville 1 3,1082.0,317.0,0.2929759704251386,2000-08-24,38.683811111111105,-83.24146944444445,Lepidoptera,Mature secondary vegetation,0.3,POINT (-83.24146944444445 38.683811111111105)
15312,SC1_2002__Summerville 1 2 28,SC1_2002__Summerville 1 2,1082.0,238.0,0.2199630314232902,2000-08-24,38.68727222222222,-83.24345277777778,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.24345277777778 38.68727222222222)
15311,SC1_2002__Summerville 1 2 27,SC1_2002__Summerville 1 2,1082.0,162.0,0.14972273567467653,2000-08-14,38.68727222222222,-83.24345277777778,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.24345277777778 38.68727222222222)
15310,SC1_2002__Summerville 1 2 26,SC1_2002__Summerville 1 2,1082.0,269.0,0.24861367837338263,2000-06-28,38.68727222222222,-83.24345277777778,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.24345277777778 38.68727222222222)
15309,SC1_2002__Summerville 1 2 25,SC1_2002__Summerville 1 2,1082.0,585.0,0.5406654343807763,2000-06-07,38.68727222222222,-83.24345277777778,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.24345277777778 38.68727222222222)
15313,SC1_2002__Summerville 1 2 29,SC1_2002__Summerville 1 2,1082.0,650.0,0.600739371534196,2000-06-08,38.68731388888889,-83.24613055555555,Lepidoptera,Young secondary vegetation,0.3,POINT (-83.24613055555555 38.68731388888889)
24849,LH2_2015__Leong 1  23,LH2_2015__Leong 1 ,975.0,27.0,0.027692307692307693,2010-08-01,37.9269,-121.7014,Hymenoptera,Urban,70.0,POINT (-121.7014 37.9269)
24858,LH2_2015__Leong 1  32,LH2_2015__Leong 1 ,975.0,552.0,0.5661538461538461,2011-12-16,37.9269,-121.7014,Hymenoptera,Urban,70.0,POINT (-121.7014 37.9269)
24772,LH2_2014__Leong 1  8,LH2_2014__Leong 1 ,542.0,225.0,0.4151291512915129,2011-08-15,37.934168,-121.706412,Hymenoptera,Urban,70.0,POINT (-121.706412 37.934168)
24842,LH2_2015__Leong 1  16,LH2_2015__Leong 1 ,975.0,357.0,0.36615384615384616,2011-08-01,37.9353,-121.7422,Hymenoptera,Urban,70.0,POINT (-121.7422 37.9353)
24857,LH2_2015__Leong 1  31,LH2_2015__Leong 1 ,975.0,566.0,0.5805128205128205,2011-12-16,37.9361,-121.7369,Hymenoptera,Urban,70.0,POINT (-121.7369 37.9361)
24769,LH2_2014__Leong 1  5,LH2_2014__Leong 1 ,542.0,215.0,0.3966789667896679,2011-08-15,37.936894,-121.73757,Hymenoptera,Urban,70.0,POINT (-121.73757 37.936894)
24839,LH2_2015__Leong 1  13,LH2_2015__Leong 1 ,975.0,403.0,0.41333333333333333,2011-08-01,37.9369,-121.7242,Hymenoptera,Urban,70.0,POINT (-121.7242 37.9369)
24844,LH2_2015__Leong 1  18,LH2_2015__Leong 1 ,975.0,24.0,0.024615384615384615,2010-08-01,37.9389,-121.6503,Hymenoptera,Secondary vegetation (indeterminate age),70.0,POINT (-121.6503 37.9389)
24765,LH2_2014__Leong 1  1,LH2_2014__Leong 1 ,542.0,165.0,0.3044280442804428,2011-08-15,37.939948,-121.664398,Hymenoptera,Cropland,70.0,POINT (-121.664398 37.939948)
24851,LH2_2015__Leong 1  25,LH2_2015__Leong 1 ,975.0,313.0,0.321025641025641,2011-12-16,37.94,-121.6394,Hymenoptera,Secondary vegetation (indeterminate age),70.0,POINT (-121.6394 37.94)
24850,LH2_2015__Leong 1  24,LH2_2015__Leong 1 ,975.0,371.0,0.38051282051282054,2011-12-16,37.9444,-121.6658,Hymenoptera,Secondary vegetation (indeterminate age),70.0,POINT (-121.6658 37.9444)
24848,LH2_2015__Leong 1  22,LH2_2015__Leong 1 ,975.0,18.0,0.018461538461538463,2010-08-01,37.9539,-121.7147,Hymenoptera,Urban,70.0,POINT (-121.7147 37.9539)
24845,LH2_2015__Leong 1  19,LH2_2015__Leong 1 ,975.0,10.0,0.010256410256410256,2010-08-01,37.9544,-121.6414,Hymenoptera,Secondary vegetation (indeterminate age),70.0,POINT (-121.6414 37.9544)
24834,LH2_2015__Leong 1  8,LH2_2015__Leong 1 ,975.0,654.0,0.6707692307692308,2011-08-01,37.9589,-121.8619,Hymenoptera,Primary vegetation,70.0,POINT (-121.8619 37.9589)
24766,LH2_2014__Leong 1  2,LH2_2014__Leong 1 ,542.0,117.0,0.2158671586715867,2011-08-15,37.965571,-121.828009,Hymenoptera,Primary vegetation,70.0,POINT (-121.828009 37.965571)
24833,LH2_2015__Leong 1  7,LH2_2015__Leong 1 ,975.0,975.0,1.0,2011-08-01,37.9656,-121.8283,Hymenoptera,Primary vegetation,70.0,POINT (-121.8283 37.9656)
24767,LH2_2014__Leong 1  3,LH2_2014__Leong 1 ,542.0,132.0,0.24354243542435425,2011-08-15,37.972209,-121.860931,Hymenoptera,Primary vegetation,70.0,POINT (-121.860931 37.972209)
24860,LH2_2015__Leong 1  34,LH2_2015__Leong 1 ,975.0,314.0,0.32205128205128203,2012-02-14,37.9772,-121.6178,Hymenoptera,Secondary vegetation (indeterminate age),70.0,POINT (-121.6178 37.9772)
24770,LH2_2014__Leong 1  6,LH2_2014__Leong 1 ,542.0,153.0,0.2822878228782288,2011-08-15,37.977339,-121.617646,Hymenoptera,Cropland,70.0,POINT (-121.617646 37.977339)
24859,LH2_2015__Leong 1  33,LH2_2015__Leong 1 ,975.0,187.0,0.19179487179487179,2011-12-16,37.9894,-121.7997,Hymenoptera,Urban,70.0,POINT (-121.7997 37.9894)
24841,LH2_2015__Leong 1  15,LH2_2015__Leong 1 ,975.0,17.0,0.017435897435897435,2010-07-01,37.9925,-121.7947,Hymenoptera,Urban,70.0,POINT (-121.7947 37.9925)
24771,LH2_2014__Leong 1  7,LH2_2014__Leong 1 ,542.0,253.0,0.466789667896679,2011-08-15,37.99319,-121.782073,Hymenoptera,Urban,70.0,POINT (-121.782073 37.99319)
24840,LH2_2015__Leong 1  14,LH2_2015__Leong 1 ,975.0,319.0,0.3271794871794872,2011-08-01,37.9936,-121.7831,Hymenoptera,Urban,70.0,POINT (-121.7831 37.9936)
24776,LH2_2014__Leong 1  12,LH2_2014__Leong 1 ,542.0,266.0,0.4907749077490775,2011-08-15,37.994988,-121.826673,Hymenoptera,Urban,70.0,POINT (-121.826673 37.994988)
24843,LH2_2015__Leong 1  17,LH2_2015__Leong 1 ,975.0,287.0,0.29435897435897435,2011-08-01,37.995,-121.8267,Hymenoptera,Urban,70.0,POINT (-121.8267 37.995)
24815,LH2_2015__Forrest 1  5,LH2_2015__Forrest 1 ,405.0,263.0,0.6493827160493827,2002-06-01,38.405229,-122.035951,Hymenoptera,Cropland,134.0,POINT (-122.035951 38.405229)
24819,LH2_2015__Forrest 1  9,LH2_2015__Forrest 1 ,405.0,175.0,0.43209876543209874,2002-06-01,38.468081,-122.03829,Hymenoptera,Primary vegetation,134.0,POINT (-122.03829 38.468081)
24824,LH2_2015__Forrest 1  14,LH2_2015__Forrest 1 ,405.0,310.0,0.7654320987654321,2002-06-01,38.490851,-122.015012,Hymenoptera,Cropland,134.0,POINT (-122.015012 38.490851)
24821,LH2_2015__Forrest 1  11,LH2_2015__Forrest 1 ,405.0,209.0,0.5160493827160494,2002-06-01,38.507158,-122.04194,Hymenoptera,Primary vegetation,134.0,POINT (-122.04194 38.507158)
24826,LH2_2015__Forrest 1  16,LH2_2015__Forrest 1 ,405.0,140.0,0.345679012345679,2002-06-01,38.511539,-122.009941,Hymenoptera,Cropland,134.0,POINT (-122.009941 38.511539)
24820,LH2_2015__Forrest 1  10,LH2_2015__Forrest 1 ,405.0,398.0,0.9827160493827161,2002-06-01,38.738245,-122.155892,Hymenoptera,Cropland,134.0,POINT (-122.155892 38.738245)
24814,LH2_2015__Forrest 1  4,LH2_2015__Forrest 1 ,405.0,178.0,0.43950617283950616,2002-06-01,38.753972,-122.153172,Hymenoptera,Cropland,134.0,POINT (-122.153172 38.753972)
24818,LH2_2015__Forrest 1  8,LH2_2015__Forrest 1 ,405.0,216.0,0.5333333333333333,2002-06-01,38.773267,-122.188109,Hymenoptera,Primary vegetation,134.0,POINT (-122.188109 38.773267)
24817,LH2_2015__Forrest 1  7,LH2_2015__Forrest 1 ,405.0,211.0,0.5209876543209877,2002-06-01,38.801207,-122.204054,Hymenoptera,Primary vegetation,134.0,POINT (-122.204054 38.801207)
24822,LH2_2015__Forrest 1  12,LH2_2015__Forrest 1 ,405.0,405.0,1.0,2002-06-01,38.804238,-122.174958,Hymenoptera,Cropland,134.0,POINT (-122.174958 38.804238)
24823,LH2_2015__Forrest 1  13,LH2_2015__Forrest 1 ,405.0,348.0,0.8592592592592593,2002-06-01,38.826358,-122.203455,Hymenoptera,Cropland,134.0,POINT (-122.203455 38.826358)
24825,LH2_2015__Forrest 1  15,LH2_2015__Forrest 1 ,405.0,216.0,0.5333333333333333,2002-06-01,38.829347,-122.18074,Hymenoptera,Primary vegetation,134.0,POINT (-122.18074 38.829347)
24812,LH2_2015__Forrest 1  2,LH2_2015__Forrest 1 ,405.0,356.0,0.8790123456790123,2002-06-01,38.840768,-122.212634,Hymenoptera,Cropland,134.0,POINT (-122.212634 38.840768)
24813,LH2_2015__Forrest 1  3,LH2_2015__Forrest 1 ,405.0,332.0,0.8197530864197531,2002-06-01,38.864457,-122.217105,Hymenoptera,Cropland,134.0,POINT (-122.217105 38.864457)
24811,LH2_2015__Forrest 1  1,LH2_2015__Forrest 1 ,405.0,268.0,0.6617283950617284,2002-06-01,38.888925,-122.246875,Hymenoptera,Primary vegetation,134.0,POINT (-122.246875 38.888925)
24816,LH2_2015__Forrest 1  6,LH2_2015__Forrest 1 ,405.0,236.0,0.582716049382716,2002-06-01,38.899389,-122.238933,Hymenoptera,Primary vegetation,134.0,POINT (-122.238933 38.899389)
431,AD1_2007__Hatfield 1 366 99,AD1_2007__Hatfield 1 366,144.0,30.0,0.20833333333333334,2003-07-09,39.395,-120.16767,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.16767 39.395)
371,AD1_2007__Hatfield 1 366 39,AD1_2007__Hatfield 1 366,144.0,16.0,0.1111111111111111,2002-07-13,39.395,-120.16767,Bombus,Pasture,40.0,POINT (-120.16767 39.395)
380,AD1_2007__Hatfield 1 376 48,AD1_2007__Hatfield 1 376,144.0,0.0,0.0,2002-07-13,39.403,-120.13267,Bombus,Pasture,40.0,POINT (-120.13267 39.403)
440,AD1_2007__Hatfield 1 376 108,AD1_2007__Hatfield 1 376,144.0,2.0,0.013888888888888888,2003-07-09,39.403,-120.13267,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.13267 39.403)
390,AD1_2007__Hatfield 1 396 58,AD1_2007__Hatfield 1 396,144.0,1.0,0.006944444444444444,2002-07-13,39.403608,-120.168058,Bombus,Pasture,40.0,POINT (-120.168058 39.403608)
450,AD1_2007__Hatfield 1 396 118,AD1_2007__Hatfield 1 396,144.0,23.0,0.1597222222222222,2003-07-09,39.403608,-120.168058,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.168058 39.403608)
392,AD1_2007__Hatfield 1 396 60,AD1_2007__Hatfield 1 396,144.0,6.0,0.041666666666666664,2002-07-13,39.403892,-120.169719,Bombus,Pasture,40.0,POINT (-120.169719 39.403892)
452,AD1_2007__Hatfield 1 396 120,AD1_2007__Hatfield 1 396,144.0,4.0,0.027777777777777776,2003-07-09,39.403892,-120.169719,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.169719 39.403892)
451,AD1_2007__Hatfield 1 396 119,AD1_2007__Hatfield 1 396,144.0,9.0,0.0625,2003-07-09,39.404162,-120.16972,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.16972 39.404162)
391,AD1_2007__Hatfield 1 396 59,AD1_2007__Hatfield 1 396,144.0,0.0,0.0,2002-07-13,39.404162,-120.16972,Bombus,Pasture,40.0,POINT (-120.16972 39.404162)
369,AD1_2007__Hatfield 1 366 37,AD1_2007__Hatfield 1 366,144.0,78.0,0.5416666666666666,2002-07-13,39.40467,-120.188,Bombus,Pasture,40.0,POINT (-120.188 39.40467)
429,AD1_2007__Hatfield 1 366 97,AD1_2007__Hatfield 1 366,144.0,53.0,0.3680555555555556,2003-07-09,39.40467,-120.188,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.188 39.40467)
379,AD1_2007__Hatfield 1 376 47,AD1_2007__Hatfield 1 376,144.0,0.0,0.0,2002-07-13,39.40467,-120.13083,Bombus,Pasture,40.0,POINT (-120.13083 39.40467)
439,AD1_2007__Hatfield 1 376 107,AD1_2007__Hatfield 1 376,144.0,2.0,0.013888888888888888,2003-07-09,39.40467,-120.13083,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.13083 39.40467)
438,AD1_2007__Hatfield 1 376 106,AD1_2007__Hatfield 1 376,144.0,6.0,0.041666666666666664,2003-07-09,39.40883,-120.12383,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.12383 39.40883)
378,AD1_2007__Hatfield 1 376 46,AD1_2007__Hatfield 1 376,144.0,3.0,0.020833333333333332,2002-07-13,39.40883,-120.12383,Bombus,Pasture,40.0,POINT (-120.12383 39.40883)
433,AD1_2007__Hatfield 1 367 101,AD1_2007__Hatfield 1 367,144.0,2.0,0.013888888888888888,2003-07-09,39.41017,-120.083,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.083 39.41017)
373,AD1_2007__Hatfield 1 367 41,AD1_2007__Hatfield 1 367,144.0,2.0,0.013888888888888888,2002-07-13,39.41017,-120.083,Bombus,Pasture,40.0,POINT (-120.083 39.41017)
437,AD1_2007__Hatfield 1 371 105,AD1_2007__Hatfield 1 371,144.0,14.0,0.09722222222222222,2003-07-09,39.41083,-120.111,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.111 39.41083)
377,AD1_2007__Hatfield 1 371 45,AD1_2007__Hatfield 1 371,144.0,0.0,0.0,2002-07-13,39.41083,-120.111,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.111 39.41083)
436,AD1_2007__Hatfield 1 371 104,AD1_2007__Hatfield 1 371,144.0,5.0,0.034722222222222224,2003-07-09,39.41133,-120.11167,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.11167 39.41133)
376,AD1_2007__Hatfield 1 371 44,AD1_2007__Hatfield 1 371,144.0,1.0,0.006944444444444444,2002-07-13,39.41133,-120.11167,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.11167 39.41133)
435,AD1_2007__Hatfield 1 371 103,AD1_2007__Hatfield 1 371,144.0,11.0,0.0763888888888889,2003-07-09,39.41217,-120.11133,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.11133 39.41217)
375,AD1_2007__Hatfield 1 371 43,AD1_2007__Hatfield 1 371,144.0,7.0,0.04861111111111111,2002-07-13,39.41217,-120.11133,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.11133 39.41217)
430,AD1_2007__Hatfield 1 366 98,AD1_2007__Hatfield 1 366,144.0,25.0,0.1736111111111111,2003-07-09,39.41217,-120.18217,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.18217 39.41217)
370,AD1_2007__Hatfield 1 366 38,AD1_2007__Hatfield 1 366,144.0,53.0,0.3680555555555556,2002-07-13,39.41217,-120.18217,Bombus,Pasture,40.0,POINT (-120.18217 39.41217)
374,AD1_2007__Hatfield 1 367 42,AD1_2007__Hatfield 1 367,144.0,0.0,0.0,2002-07-13,39.413,-120.08383,Bombus,Pasture,40.0,POINT (-120.08383 39.413)
434,AD1_2007__Hatfield 1 367 102,AD1_2007__Hatfield 1 367,144.0,24.0,0.16666666666666666,2003-07-09,39.413,-120.08383,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.08383 39.413)
432,AD1_2007__Hatfield 1 367 100,AD1_2007__Hatfield 1 367,144.0,50.0,0.3472222222222222,2003-07-09,39.41517,-120.0835,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.0835 39.41517)
372,AD1_2007__Hatfield 1 367 40,AD1_2007__Hatfield 1 367,144.0,1.0,0.006944444444444444,2002-07-13,39.41517,-120.0835,Bombus,Pasture,40.0,POINT (-120.0835 39.41517)
426,AD1_2007__Hatfield 1 329 94,AD1_2007__Hatfield 1 329,144.0,53.0,0.3680555555555556,2003-07-09,39.4325,-120.25883,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.25883 39.4325)
366,AD1_2007__Hatfield 1 329 34,AD1_2007__Hatfield 1 329,144.0,28.0,0.19444444444444445,2002-07-13,39.4325,-120.25883,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.25883 39.4325)
427,AD1_2007__Hatfield 1 329 95,AD1_2007__Hatfield 1 329,144.0,28.0,0.19444444444444445,2003-07-09,39.433,-120.26383,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.26383 39.433)
367,AD1_2007__Hatfield 1 329 35,AD1_2007__Hatfield 1 329,144.0,36.0,0.25,2002-07-13,39.433,-120.26383,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.26383 39.433)
368,AD1_2007__Hatfield 1 329 36,AD1_2007__Hatfield 1 329,144.0,31.0,0.2152777777777778,2002-07-13,39.4335,-120.26017,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.26017 39.4335)
428,AD1_2007__Hatfield 1 329 96,AD1_2007__Hatfield 1 329,144.0,60.0,0.4166666666666667,2003-07-09,39.4335,-120.26017,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.26017 39.4335)
442,AD1_2007__Hatfield 1 601 110,AD1_2007__Hatfield 1 601,144.0,45.0,0.3125,2003-07-09,39.43467,-120.20683,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.20683 39.43467)
382,AD1_2007__Hatfield 1 601 50,AD1_2007__Hatfield 1 601,144.0,12.0,0.08333333333333333,2002-07-13,39.43467,-120.20683,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.20683 39.43467)
441,AD1_2007__Hatfield 1 601 109,AD1_2007__Hatfield 1 601,144.0,21.0,0.14583333333333334,2003-07-09,39.43517,-120.20767,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.20767 39.43517)
381,AD1_2007__Hatfield 1 601 49,AD1_2007__Hatfield 1 601,144.0,2.0,0.013888888888888888,2002-07-13,39.43517,-120.20767,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.20767 39.43517)
443,AD1_2007__Hatfield 1 601 111,AD1_2007__Hatfield 1 601,144.0,39.0,0.2708333333333333,2003-07-09,39.43583,-120.2085,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.2085 39.43583)
383,AD1_2007__Hatfield 1 601 51,AD1_2007__Hatfield 1 601,144.0,33.0,0.22916666666666666,2002-07-13,39.43583,-120.2085,Bombus,Secondary vegetation (indeterminate age),40.0,POINT (-120.2085 39.43583)
